,user name,number of repositories,number of stars,mean stars per repo
218,olivergierke,6294,785351,124.7777248172863
219,kishikawakatsumi,6324,791159,125.10420619860848
220,balupton,6354,791426,124.55555555555556
221,jamztang,6384,794491,124.45034461152882
222,be5invis,6414,799554,124.6576239476146
223,grp,6444,801339,124.35428305400373
224,mjhea0,6474,801432,123.79240037071362
225,ammeep,6501,801622,123.30749115520689
226,kartik-v,6531,805841,123.3870770173021
227,SamSaffron,6561,805941,122.83813443072702
228,weavejester,6591,807768,122.55621301775147
229,cyanogen,6601,807805,122.37615512801091
230,AllenDowney,6631,808331,121.90182476247927
231,mariotaku,6661,808474,121.37426812790872
232,webmozart,6691,809709,121.01464654012852
233,cheeaun,6721,810166,120.54247879779794
234,sebastianbergmann,6751,813523,120.50407347059695
235,addyosmani,6781,825476,121.73366760064887
236,rasbt,6811,840537,123.40875055057994
237,azat-co,6841,842332,123.12995176143839
238,davidfowl,6871,842771,122.65623635569786
239,fnando,6901,844909,122.43283582089552
240,macournoyer,6931,845870,122.04155244553455
241,robdodson,6961,846285,121.57520471196668
242,toddmotto,6991,860026,123.01902446002002
243,paulirish,7021,861658,122.72582253240279
244,juliangruber,7051,862071,122.26223230747412
245,bkeepers,7081,866549,122.37664171727157
246,mli,7108,867561,122.05416432189082
247,walkor,7138,876149,122.74432614177641
248,zpao,7168,876382,122.26311383928571
249,una,7198,881009,122.39636010002779
250,tj,7228,892630,123.4961261759823
251,johnpapa,7258,917386,126.39652796913751
252,amueller,7288,917698,125.91904500548847
253,AdamBien,7318,918619,125.52869636512709
254,akrabat,7348,918805,125.0415078933043
